unit_id,unit_name,DName2016,median_land_share,median_implied_land_per_decimal,n_houses,share_negative,median_landonly_per_decimal,n_land
Wakiso/Gombe Division,Gombe Division,Wakiso,0.379075,1880705.0,41.0,0.49382716049382713,1698841.5018496704,104.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,0.5176826923076923,7776250.0,122.0,0.19205298013245034,3151494.719656106,148.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,0.7687758874946375,29221000.0,122.0,0.031746031746031744,10200000.0,80.0
Wakiso/Division A,Division A,Wakiso,0.7490091666666666,25074090.90909091,51.0,0.07272727272727272,6273770.491803279,112.0
Wakiso/Division B,Division B,Wakiso,,,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,,,1.0,,2.0
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,,4.0,0.5,1524601.3478138067,68.0
Wakiso/Kasanje,Kasanje,Wakiso,,,3.0,0.0,2003761.7714124317,27.0
Mukono/Nakisunga,Nakisunga,Mukono,,,2.0,0.3333333333333333,958320.8471972499,11.0
Mukono/Nagojje,Nagojje,Mukono,,,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,,3.0,0.5,1132561.0012331135,11.0
Wakiso/Masuliita,Masuliita,Wakiso,,,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,,,1.0,,
Wakiso/Mende,Mende,Wakiso,,,,,1655281.4633407043,6.0
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,,,1.0,,1.0
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,0.3677854545454545,8053830.208333333,14.0,0.44,3375902.9844448576,10.0
Wakiso/Wakiso,Wakiso,Wakiso,0.5459215076853526,3991458.333333333,16.0,0.4482758620689655,4356003.85089659,7.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,0.594465478424015,10484583.333333334,268.0,0.25139664804469275,3136322.772645545,362.0
Wakiso/Kira Division,Kira Division,Wakiso,0.6895375,20839208.333333332,681.0,0.04488078541374474,8333333.333333333,471.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,0.7240333333333333,26065200.0,306.0,0.025477707006369428,6201923.076923077,114.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,,,
Mpigi/Mpigi Town Council,Mpigi Town Council,Mpigi,0.5584533333333334,2508150.0,6.0,0.3333333333333333,871200.7701793181,64.0
Mpigi/Muduuma,Muduuma,Mpigi,,,,,,
Mpigi/Kiringente,Kiringente,Mpigi,,,,1.0,,
Wakiso/Busukuma Division,Busukuma Division,Wakiso,0.4240260133091349,6932861.111111111,12.0,0.2,2221561.9639572613,30.0
Mukono/Goma Division,Goma Division,Mukono,0.5223653846153846,7458571.428571428,155.0,0.11428571428571428,4900000.0,142.0
Mukono/Nabbaale,Nabbaale,Mukono,,,1.0,0.0,,
Mukono/Seeta Namuganga,Seeta Namuganga,Mukono,,,,,,
Buikwe/Buikwe,Buikwe,Buikwe,,,,,,
Buikwe/Ssi-Bukunja,Ssi-Bukunja,Buikwe,,,,,,
Buikwe/Ngogwe,Ngogwe,Buikwe,,,,,,
Buikwe/Najja,Najja,Buikwe,,,,,,3.0
Buikwe/Nyenga Division,Nyenga Division,Buikwe,,,,,,
Wakiso/Namayumba,Namayumba,Wakiso,,,,,,
Mukono/Kimenyedde,Kimenyedde,Mukono,,,,,,
Luwero/Makulubita,Makulubita,Luwero,,,2.0,0.0,,
Luwero/Luwero,Luwero,Luwero,,,,,,3.0
Luwero/Kikyusa,Kikyusa,Luwero,,,,,,
Luwero/Zirobwe,Zirobwe,Luwero,,,,,,1.0
Luwero/Katikamu,Katikamu,Luwero,,,,,,
Luwero/Wobulenzi Town Council,Wobulenzi Town Council,Luwero,,,,,,
Luwero/Bamunanika,Bamunanika,Luwero,,,,,,
Luwero/Nyimbwa,Nyimbwa,Luwero,,,,,,
Luwero/Kalagala,Kalagala,Luwero,0.66884,908250.0,5.0,0.16666666666666666,500000.0,8.0
Luwero/Bombo Town Council,Bombo Town Council,Luwero,,,,1.0,150000.0,43.0
Luwero/Butuntumula,Butuntumula,Luwero,,,,,,1.0
Luwero/Kamira,Kamira,Luwero,,,,,,
Mukono/Mpatta,Mpatta,Mukono,,,,,,
Wakiso/Katabi  Town Council,Katabi  Town Council,Wakiso,0.6451857142857143,16482125.0,43.0,0.10416666666666667,6583333.333333334,72.0
Luwero/Luwero Town Council,Luwero Town Council,Luwero,,,,,,
Buikwe/Buikwe Town Council,Buikwe Town Council,Buikwe,,,,,,
Buikwe/Kawolo Division,Kawolo Division,Buikwe,,,,,,
Buikwe/Central Division,Central Division,Buikwe,,,,1.0,100000.0,5.0
Buikwe/Najjembe Division,Najjembe Division,Buikwe,,,1.0,0.0,,2.0
Buikwe/Njeru Division,Njeru Division,Buikwe,,,,,,
Buikwe/Nkokonjeru Town Council,Nkokonjeru Town Council,Buikwe,,,,,,
Mpigi/Buwama,Buwama,Mpigi,,,,,,
Wakiso/Bussi,Bussi,Wakiso,,,,,,
Mpigi/Kituntu,Kituntu,Mpigi,,,,,,
Mpigi/Nkozi,Nkozi,Mpigi,,,,,,
Mukono/Mpunge,Mpunge,Mukono,,,,,,
Mukono/Nama,Nama,Mukono,,,,,,
Mukono/Ntenjeru,Ntenjeru,Mukono,,,,,,
Mukono/Central Division,Central Division,Mukono,0.50275,3516300.0,97.0,0.26515151515151514,1834760.808688284,224.0
Mukono/Kasawo,Kasawo,Mukono,,,,,,1.0
Wakiso/Nansana Division,Nansana Division,Wakiso,0.2962,2984583.3333333335,30.0,0.47368421052631576,5953205.262892007,6.0
Wakiso/Bunamwaya Division,Bunamwaya Division,Wakiso,0.8790504017531044,67683250.0,43.0,0.0,18000000.0,19.0
Wakiso/Masajja Division,Masajja Division,Wakiso,0.56490625,16752241.379310345,27.0,0.15625,6326923.076923077,32.0
