unit_id,unit_name,DName2016,median,q25,q75,n
Wakiso/Gombe Division,Gombe Division,Wakiso,,100000.0,100000.0,1.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,600000.0,400000.0,825000.0,56.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,1500000.0,700000.0,3800000.0,41.0
Wakiso/Division A,Division A,Wakiso,1850000.0,650000.0,5550000.0,21.0
Wakiso/Division B,Division B,Wakiso,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,,,
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,,,,
Wakiso/Kasanje,Kasanje,Wakiso,,975000.0,8400000.0,3.0
Mukono/Nakisunga,Nakisunga,Mukono,,,,
Mukono/Nagojje,Nagojje,Mukono,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,,,
Wakiso/Masuliita,Masuliita,Wakiso,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,,,
Wakiso/Mende,Mende,Wakiso,,,,
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,,,
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,,262500.0,862500.0,6.0
Wakiso/Wakiso,Wakiso,Wakiso,,462500.0,687500.0,2.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,1100000.0,700000.0,1500000.0,57.0
Wakiso/Kira Division,Kira Division,Wakiso,1000000.0,700000.0,1500000.0,425.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,,700000.0,1875000.0,10.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,
Mpigi/Mpigi Town Council,Mpigi Town Council,Mpigi,,,,
Mpigi/Muduuma,Muduuma,Mpigi,,,,
Mpigi/Kiringente,Kiringente,Mpigi,,,,
Wakiso/Busukuma Division,Busukuma Division,Wakiso,,,,
Mukono/Goma Division,Goma Division,Mukono,500000.0,300000.0,700000.0,63.0
Mukono/Nabbaale,Nabbaale,Mukono,,,,
Mukono/Seeta Namuganga,Seeta Namuganga,Mukono,,,,
Buikwe/Buikwe,Buikwe,Buikwe,,,,
Buikwe/Ssi-Bukunja,Ssi-Bukunja,Buikwe,,,,
Buikwe/Ngogwe,Ngogwe,Buikwe,,,,
Buikwe/Najja,Najja,Buikwe,,,,
Buikwe/Nyenga Division,Nyenga Division,Buikwe,,,,
Wakiso/Namayumba,Namayumba,Wakiso,,,,
Mukono/Kimenyedde,Kimenyedde,Mukono,,,,
Luwero/Makulubita,Makulubita,Luwero,,,,
Luwero/Luwero,Luwero,Luwero,,,,
Luwero/Kikyusa,Kikyusa,Luwero,,,,
Luwero/Zirobwe,Zirobwe,Luwero,,,,
Luwero/Katikamu,Katikamu,Luwero,,,,
Luwero/Wobulenzi Town Council,Wobulenzi Town Council,Luwero,,,,
Luwero/Bamunanika,Bamunanika,Luwero,,,,
Luwero/Nyimbwa,Nyimbwa,Luwero,,,,
Luwero/Kalagala,Kalagala,Luwero,,,,
Luwero/Bombo Town Council,Bombo Town Council,Luwero,,5180000.0,5180000.0,1.0
Luwero/Butuntumula,Butuntumula,Luwero,,,,
Luwero/Kamira,Kamira,Luwero,,,,
Mukono/Mpatta,Mpatta,Mukono,,,,
Wakiso/Katabi  Town Council,Katabi  Town Council,Wakiso,1250000.0,1000000.0,2750000.0,21.0
Luwero/Luwero Town Council,Luwero Town Council,Luwero,,,,
Buikwe/Buikwe Town Council,Buikwe Town Council,Buikwe,,,,
Buikwe/Kawolo Division,Kawolo Division,Buikwe,,,,
Buikwe/Central Division,Central Division,Buikwe,,,,
Buikwe/Najjembe Division,Najjembe Division,Buikwe,,,,
Buikwe/Njeru Division,Njeru Division,Buikwe,,,,
Buikwe/Nkokonjeru Town Council,Nkokonjeru Town Council,Buikwe,,,,
Mpigi/Buwama,Buwama,Mpigi,,,,
Wakiso/Bussi,Bussi,Wakiso,,,,
Mpigi/Kituntu,Kituntu,Mpigi,,,,
Mpigi/Nkozi,Nkozi,Mpigi,,,,
Mukono/Mpunge,Mpunge,Mukono,,,,
Mukono/Nama,Nama,Mukono,,,,
Mukono/Ntenjeru,Ntenjeru,Mukono,,,,
Mukono/Central Division,Central Division,Mukono,300000.0,247500.0,525000.0,20.0
Mukono/Kasawo,Kasawo,Mukono,,,,
Wakiso/Nansana Division,Nansana Division,Wakiso,,200000.0,775000.0,7.0
Wakiso/Bunamwaya Division,Bunamwaya Division,Wakiso,2100000.0,1500000.0,3550000.0,32.0
Wakiso/Masajja Division,Masajja Division,Wakiso,,250000.0,1000000.0,9.0
Wakiso/Bweyogerere Division,Bweyogerere Division,Wakiso,800000.0,350000.0,1300000.0,49.0
Wakiso/Namugongo Division,Namugongo Division,Wakiso,700000.0,500000.0,1000000.0,436.0
Mukono/Koome Island,Koome Island,Mukono,,,,
Kampala/Kawempe Division,Kawempe Division,Kampala,1200000.0,675000.0,1700000.0,215.0
Kampala/Nakawa Division,Nakawa Division,Kampala,2590000.0,1300000.0,7400000.0,937.0
Kampala/Makindye Division,Makindye Division,Kampala,1800000.0,1050000.0,3500000.0,554.0
Kampala/Rubaga Division,Rubaga Division,Kampala,600000.0,350000.0,1100000.0,53.0
Kampala/Central Division,Central Division,Kampala,5550000.0,1425000.0,11000000.0,390.0
