unit_id,unit_name,DName2016,median,q25,q75,n
Wakiso/Gombe Division,Gombe Division,Wakiso,1698841.5018496704,989580.2117993125,2613602.3105379543,104.0
Wakiso/Nabweru Division,Nabweru Division,Wakiso,,,,
Wakiso/Kasangati Town Council,Kasangati Town Council,Wakiso,3151494.719656106,2083333.3333333333,4832122.503613394,148.0
Wakiso/Ndejje Division,Ndejje Division,Wakiso,10200000.0,6789189.189189189,15234375.0,80.0
Wakiso/Division A,Division A,Wakiso,6273770.491803279,4356003.85089659,10454409.242151817,112.0
Wakiso/Division B,Division B,Wakiso,,,,
Wakiso/Kakiri,Kakiri,Wakiso,,247500.0,282500.0,2.0
Wakiso/Kakiri Town Council,Kakiri Town Council,Wakiso,1524601.3478138067,1006227.7580071174,1854160.4235986248,68.0
Wakiso/Kasanje,Kasanje,Wakiso,2003761.7714124317,1035600.3850896591,2469681.078251045,27.0
Mukono/Nakisunga,Nakisunga,Mukono,,566700.2888172443,2031761.157299709,11.0
Mukono/Nagojje,Nagojje,Mukono,,,,
Mukono/Kyampisi,Kyampisi,Mukono,,1045440.9242151817,1466191.3853742238,11.0
Wakiso/Masuliita,Masuliita,Wakiso,,,,
Wakiso/Masulita Town Council,Masulita Town Council,Wakiso,,,,
Wakiso/Mende,Mende,Wakiso,,1470151.2996775995,1807741.598122085,6.0
Wakiso/Namayumba Town Council,Namayumba Town Council,Wakiso,,12500000.0,12500000.0,1.0
Wakiso/Kyengera Town Council,Kyengera Town Council,Wakiso,,2286902.02172071,10291666.666666668,10.0
Wakiso/Wakiso,Wakiso,Wakiso,,3484803.0807172726,7332606.482342594,7.0
Wakiso/Wakiso Town Council,Wakiso Town Council,Wakiso,3136322.772645545,1655281.4633407043,5852547.744325507,362.0
Wakiso/Kira Division,Kira Division,Wakiso,8333333.333333333,6500000.0,11200000.0,471.0
Wakiso/Kajjansi Town Council,Kajjansi Town Council,Wakiso,6201923.076923077,4000000.0,8987500.0,114.0
Buikwe/Wakisi Division,Wakisi Division,Buikwe,,,,
Mukono/Ntunda,Ntunda,Mukono,,,,
Mpigi/Kammengo,Kammengo,Mpigi,,,,
Mpigi/Mpigi Town Council,Mpigi Town Council,Mpigi,871200.7701793181,250000.0,1780279.8347142588,64.0
Mpigi/Muduuma,Muduuma,Mpigi,,,,
Mpigi/Kiringente,Kiringente,Mpigi,,,,
Wakiso/Busukuma Division,Busukuma Division,Wakiso,2221561.9639572613,1375000.0,2809622.483828301,30.0
Mukono/Goma Division,Goma Division,Mukono,4900000.0,3604255.3191489363,6400000.0,142.0
Mukono/Nabbaale,Nabbaale,Mukono,,,,
Mukono/Seeta Namuganga,Seeta Namuganga,Mukono,,,,
Buikwe/Buikwe,Buikwe,Buikwe,,,,
Buikwe/Ssi-Bukunja,Ssi-Bukunja,Buikwe,,,,
Buikwe/Ngogwe,Ngogwe,Buikwe,,,,
Buikwe/Najja,Najja,Buikwe,,11538.461538461539,11538.461538461539,3.0
Buikwe/Nyenga Division,Nyenga Division,Buikwe,,,,
Wakiso/Namayumba,Namayumba,Wakiso,,,,
Mukono/Kimenyedde,Kimenyedde,Mukono,,,,
Luwero/Makulubita,Makulubita,Luwero,,,,
Luwero/Luwero,Luwero,Luwero,,90300.0,277500.0,3.0
Luwero/Kikyusa,Kikyusa,Luwero,,,,
Luwero/Zirobwe,Zirobwe,Luwero,,83333.33333333333,83333.33333333333,1.0
Luwero/Katikamu,Katikamu,Luwero,,,,
Luwero/Wobulenzi Town Council,Wobulenzi Town Council,Luwero,,,,
Luwero/Bamunanika,Bamunanika,Luwero,,,,
Luwero/Nyimbwa,Nyimbwa,Luwero,,,,
Luwero/Kalagala,Kalagala,Luwero,,114250.0,1250000.0,8.0
Luwero/Bombo Town Council,Bombo Town Council,Luwero,150000.0,15833.333333333334,784080.6931613863,43.0
